(stop - start) * cost.,(স্টপ - স্টার্ট) * ব্যয়।
$,$
A brief description of the box,বাক্সের একটি সংক্ষিপ্ত বিবরণ
About,সম্পর্কিত
Accept,গ্রহণ করা
Accept Bribe?,ঘুষ গ্রহণ করবেন?
Accept this bribe?,এই ঘুষ গ্রহণ করবেন?
Accepted,গৃহীত
Accepted / In Jail,গৃহীত / কারাগারে
Account Locked!,হিসাব বন্ধ!
Account Password,অ্যাকাউন্টের পাসওয়ার্ড
Active Bots,অ্যাক্টিভ বটস
Add,যোগ
Add,যোগ
add,যোগ
Add a Category for Boxes.,বক্সগুলির জন্য একটি বিভাগ যুক্ত করুন।
Add Flags,পতাকা যুক্ত করুন
Add Hint,ইঙ্গিত যুক্ত করুন
Add IP address,আইপি ঠিকানা যুক্ত করুন
Add IP Address,আইপি ঠিকানা যুক্ত করুন
add some,কিছু যুক্ত কর
Add Source Code,উত্স কোড যুক্ত করুন
Add Source Code to Market,বাজারে উত্স কোড যুক্ত করুন
Add to Market,বাজারে যুক্ত করুন
Address,ঠিকানা
Admin,অ্যাডমিন
Admin Home,অ্যাডমিন হোম
Admin Message,প্রশাসন বার্তা
Admin Notes,অ্যাডমিন নোটস
Administrator Panel,প্রশাসক প্যানেল
Admins,প্রশাসকদের
All Notifications,সমস্ত বিজ্ঞপ্তি
and logos in export.,এবং রফতানীতে লোগো।
and so on,ইত্যাদি
Apply penalty on attempt,চেষ্টায় জরিমানা প্রয়োগ করুন
Are you a Cylon?,তুমি কি কাইলন?
Are You Elite,তুমি কি অভিজাত?
Are you sure you want to buy this code?,আপনি কি নিশ্চিত যে আপনি এই কোডটি কিনতে চান?
Are you sure you want to delete this box?,আপনি কি নিশ্চিত যে আপনি এই বাক্সটি মুছতে চান?
Are you sure you want to delete this category?,আপনি কি নিশ্চিত যে আপনি এই বিভাগটি মুছতে চান?
Are you sure you want to delete this corporation?,আপনি কি নিশ্চিত যে আপনি এই কর্পোরেশনটি মুছতে চান?
Are you sure you want to delete this file?,আপনি কি নিশ্চিত যে আপনি এই ফাইলটি মুছতে চান?
Are you sure you want to delete this flag?,আপনি কি নিশ্চিত যে আপনি এই পতাকাটি মুছতে চান?
Are you sure you want to delete this game level?,আপনি কি নিশ্চিত যে আপনি এই গেম স্তরটি মুছতে চান?
Are you sure you want to delete this hint?,আপনি কি নিশ্চিত যে আপনি এই ইঙ্গিতটি মুছতে চান?
